--- NVTX Summary ---
Generating SQLite file results/medium_ctx256_full.sqlite from results/medium_ctx256_full.nsys-rep
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)   Style              Range            
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  -------  ----------------------------
     74.0        858400211          1  858400211.0  858400211.0  858400211  858400211          0.0  PushPop  benchmark                   
     13.2        152867542        144    1061580.2     458303.5     424199   60517410    5001540.1  PushPop  scaled dot product attention
      6.0         69048726        144     479505.0     182615.5     169832   29141119    2412322.0  PushPop  computing attention scores  
      4.6         53040911        144     368339.7     126437.0     117313   23131944    1915974.5  PushPop  computing softmax           
      2.3         26449965        144     183680.3     121498.0     109409    8148169     668784.0  PushPop  final matmul                


--- CUDA Kernel Summary ---
Processing [results/medium_ctx256_full.sqlite] with [/opt/nvidia/nsight-compute/2023.1.1/host/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)   TMed (ns)   TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)   AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)   QMed (ns)   QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name                                             
 3288  3288      0   1014    1009   9210954.5   5573595.0     134639   34650098     9754056.8      7174.0     6763.5       5150      34447        1757.4   9033139.4   5424402.0        108   33565899     9756573.4   215184.4   130561.0     126529    1080137      114895.6  cudaLaunchKernel  ampere_sgemm_128x64_tn                                                                              
 3288  3288      0    300     299   9151238.9   5569695.0      13591   35160545     9810240.0     39584.0     5593.0       5079   10143065      585276.2   9135154.2   5513136.0        109   35151666     9826627.0     6957.1     7040.0       3296       8160         662.9  cudaLaunchKernel  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
 3288  3288      0    288     287   9137692.2   5514622.0      71075   33532934     9779554.9      7049.6     5770.5       4790      33404        3064.6   9101498.4   5449515.0        298   33467006     9782819.0    60766.6    60896.5      59297      62529         843.0  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 3288  3288      0    156     156   9120227.7   5431366.5      75046   35093665     9908127.0      6027.8     5460.0       4813      35877        2800.4   9050143.0   5368098.0        656   34945940     9906857.8    64056.9    57536.0      56512     144322       22917.7  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3288      0    150     149   9118996.3   5485770.5      66556   34990024     9810383.8     74132.0     5688.5       5230   10215546      833600.8   9065318.7   5371006.0      21706   34905542     9842788.5    39997.9    38368.0      36961      79521        8049.0  cudaLaunchKernel  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 3288  3288      0    294     293   9087877.9   5473164.0       8046   33682346     9778760.4     66646.6     5093.5       4620   18054401     1052647.9   9050675.7   5452377.0        122   33675902     9781440.3     1344.7     1344.0       1280       1440          36.8  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
 3288  3288      0    144     143   9065041.0   5419751.5     148070   33238670     9737254.1     48666.0     6147.5       5723    5960208      496077.9   9039308.6   5314404.0      97975   33193038     9768825.4    39847.8    39840.0      39072      41024         353.8  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
 3288  3288      0    150     149   9064266.1   5399654.5      47919   34687989     9797465.4     86087.3     6620.0       5870   11880499      969473.5   8995953.3   5288139.0        745   34599228     9827336.2    42212.1    40592.5      38848      82689        8175.8  cudaLaunchKernel  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
 3288  3288      0    288     286   9060662.0   5492628.0      24198   33239433     9738702.5     33331.8     5861.0       5191    7806848      459659.0   9072134.9   5468728.0        144   33215874     9758009.6    18208.4    18176.0      17441      19712         344.7  cudaLaunchKernel  void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)64, (int)64>(T1 *…
 3288  3288      0   1740    1733   9051469.9   5472049.0      18217   33675907     9746977.8     10376.4     5240.0       4522    7843093      187891.1   9064506.9   5460719.0        166   33657312     9752181.9    13061.2    12992.0      11487      15680         709.9  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3288      0    150     150   9040188.6   5307619.0      70060   34934104     9834643.3      6783.5     5311.5       4845      30267        3134.4   8969311.5   5241268.0         58   34782991     9834677.2    64093.6    60672.0      59649     146689       16770.9  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
 3288  3288      0    144     143   8993653.8   5290945.5      55404   33048008     9729316.1    113095.5     5594.0       5134   15461652     1287990.9   8893213.2   5178429.0        517   32993529     9748188.9    49149.9    49088.0      48352      49856         285.1  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3288      0    144     141   8986087.6   5427920.0       9914   33065520     9727249.4     59667.2     5928.0       5566    7685499      639932.1   9112832.9   5465437.0        115   33056162     9770841.6     3468.5     3456.0       3104       3711         114.2  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3288      0    144     142   8975112.4   5312260.0       7964   33097735     9748548.0     21452.0     5616.0       5063    2240488      186219.7   9078031.0   5453323.0        101   33090195     9771431.9     1734.2     1728.0       1504       1952         105.0  cudaLaunchKernel  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 3288  3288      0    144     143   8960334.1   5242571.5      66033   33166430     9760888.0      6580.8     5365.0       4835      34745        3682.4   8958280.7   5201000.0        331   33101637     9767124.2    57686.9    57696.0      56640      59009         421.7  cudaLaunchKernel  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3288  3288      0    144     141   8958225.2   5304717.0      71485   33050268     9711261.1     71185.5     6670.5       6103    9083663      756296.5   9014036.3   5289912.0        135   32983377     9757109.5    60811.7    60784.5      59809      62177         454.0  cudaLaunchKernel  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
